season,home_team,away_team,home_score,away_score,neutral,note
2024,Delta Tech,Epsilon U,71,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Epsilon U,Delta Tech,77,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Delta Tech,Zeta State,83,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Zeta State,Delta Tech,74,84,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Epsilon U,Zeta State,82,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Zeta State,Epsilon U,77,74,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Eta College,Theta Tech,80,74,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Theta Tech,Eta College,79,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Eta College,Iota U,83,74,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Iota U,Eta College,71,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Eta College,Kappa State,86,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Kappa State,Eta College,73,79,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Eta College,Lambda College,79,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Lambda College,Eta College,72,79,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Eta College,Mu Tech,97,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Mu Tech,Eta College,74,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Theta Tech,Iota U,70,78,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Iota U,Theta Tech,75,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Theta Tech,Kappa State,82,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Kappa State,Theta Tech,77,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Theta Tech,Lambda College,77,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Lambda College,Theta Tech,76,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Theta Tech,Mu Tech,83,74,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Mu Tech,Theta Tech,74,88,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Iota U,Kappa State,74,76,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Kappa State,Iota U,73,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Iota U,Lambda College,83,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Lambda College,Iota U,73,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Iota U,Mu Tech,79,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Mu Tech,Iota U,74,82,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Kappa State,Lambda College,72,70,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Lambda College,Kappa State,70,79,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Kappa State,Mu Tech,84,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Mu Tech,Kappa State,70,71,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Lambda College,Mu Tech,81,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Mu Tech,Lambda College,79,73,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Alpha State,Iota U,91,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Iota U,Alpha State,72,89,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Beta University,Kappa State,91,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Kappa State,Beta University,72,99,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Gamma College,Lambda College,79,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Lambda College,Gamma College,72,96,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Delta Tech,Mu Tech,83,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Mu Tech,Delta Tech,72,82,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Epsilon U,Eta College,73,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Eta College,Epsilon U,72,76,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Zeta State,Theta Tech,89,72,False,SYNTHETIC_DEMO_NOT_HISTORICAL
2024,Theta Tech,Zeta State,72,76,False,SYNTHETIC_DEMO_NOT_HISTORICAL
